Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,133.634,133.742,133.632,133.697,13082499984.7413
26.04.2023 00:30:00.000 GMT-0600,133.706,133.789,133.621,133.666,13683289978.027502
26.04.2023 01:00:00.000 GMT-0600,133.665,133.722,133.509,133.545,25907660034.179897
26.04.2023 01:30:00.000 GMT-0600,133.548,133.616,133.390,133.450,24401880004.883392
26.04.2023 02:00:00.000 GMT-0600,133.449,133.688,133.417,133.560,24718280090.331898
26.04.2023 02:30:00.000 GMT-0600,133.557,133.608,133.530,133.534,19293520019.5314
26.04.2023 03:00:00.000 GMT-0600,133.535,133.580,133.438,133.507,19336159881.5918
26.04.2023 03:30:00.000 GMT-0600,133.508,133.542,133.420,133.432,15247220108.0322
26.04.2023 04:00:00.000 GMT-0600,133.432,133.457,133.289,133.371,18645090057.3734
26.04.2023 04:30:00.000 GMT-0600,133.369,133.483,133.354,133.411,14016589889.526503
26.04.2023 05:00:00.000 GMT-0600,133.413,133.458,133.262,133.280,16525199981.689497
26.04.2023 05:30:00.000 GMT-0600,133.279,133.850,133.278,133.735,29230249938.965202
26.04.2023 06:00:00.000 GMT-0600,133.736,133.841,133.673,133.677,26762719970.703197
26.04.2023 06:30:00.000 GMT-0600,133.679,133.940,133.600,133.616,26571260162.353603
26.04.2023 07:00:00.000 GMT-0600,133.620,133.651,133.087,133.134,27776019958.496296
26.04.2023 07:30:00.000 GMT-0600,133.135,133.237,133.076,133.166,29113190124.511997
26.04.2023 08:00:00.000 GMT-0600,133.166,133.301,133.014,133.024,25536260070.800602
26.04.2023 08:30:00.000 GMT-0600,133.025,133.367,133.013,133.327,23081470153.8088
26.04.2023 09:00:00.000 GMT-0600,133.327,133.575,133.303,133.556,21854240005.4932
26.04.2023 09:30:00.000 GMT-0600,133.557,133.731,133.520,133.722,9476359909.057602
26.04.2023 10:00:00.000 GMT-0600,133.723,133.861,133.715,133.814,11533139907.8372
26.04.2023 10:30:00.000 GMT-0600,133.815,133.881,133.776,133.812,11303290115.3562
26.04.2023 11:00:00.000 GMT-0600,133.812,133.861,133.764,133.781,11549540023.8036
26.04.2023 11:30:00.000 GMT-0600,133.783,133.824,133.720,133.742,10051900024.414001
26.04.2023 12:00:00.000 GMT-0600,133.743,133.793,133.700,133.778,8624570007.324099
26.04.2023 12:30:00.000 GMT-0600,133.779,133.799,133.523,133.538,13708940109.253004
26.04.2023 13:00:00.000 GMT-0600,133.537,133.597,133.474,133.562,10121739959.716997
26.04.2023 13:30:00.000 GMT-0600,133.563,133.696,133.556,133.628,8078680047.989
26.04.2023 14:00:00.000 GMT-0600,133.629,133.675,133.614,133.663,1987650016.0694995
26.04.2023 14:30:00.000 GMT-0600,133.663,133.685,133.640,133.647,1542769996.1661
26.04.2023 15:00:00.000 GMT-0600,133.647,133.679,133.599,133.639,344489997.2082
26.04.2023 15:30:00.000 GMT-0600,133.642,133.662,133.581,133.624,1028300004.1248
26.04.2023 16:00:00.000 GMT-0600,133.624,133.676,133.549,133.572,4381970005.0356
26.04.2023 16:30:00.000 GMT-0600,133.571,133.616,133.554,133.575,4944180000.3053
26.04.2023 17:00:00.000 GMT-0600,133.573,133.574,133.423,133.457,4804559996.127998
26.04.2023 17:30:00.000 GMT-0600,133.456,133.482,133.409,133.461,3726120006.5613003
26.04.2023 18:00:00.000 GMT-0600,133.462,133.680,133.391,133.650,10722209999.084497
